STUDY_ID,First_Author,Data_file_name,G_match_E,natural_env_type,GxE_sig,phylum_division,genus,species,gen_number,gen_number_knownenvs,phenotype,phenotype_unit,life_stage,exp_env_type,experimental_comparison,Experimental_environment,experimental_env_unit,natural_env,natural_env_unit,Study_ID_phenotype,Raw_data_available,Proportion,Mention CGV,Data_source,figure_Number,table_Number,Comments,Checked?
1019,Viger,1019_Viger_specific_leaf_area,G_match_E_DataShown,continuous,FALSE,Tracheophyta,Populus,nigra,6,6,specific_leaf_area,sq cm per g,JUVENILE,categorical,well watered vs drought,water availability,NA,Average annual precipitation,mm,1019_specific_leaf_area,mean_SE,no,no,Table,,Table S2 and S5 in tpw017supp_Table_S1S2S3S5 (word file),,
1019,Viger,1019_Viger_stomatal_conductance_5DAD,G_match_E_DataShown,continuous,FALSE,Tracheophyta,Populus,nigra,6,6,stomatal_conductance_5DAD,umol per sq m per sec,JUVENILE,categorical,well watered vs drought,water availability,NA,Average annual precipitation,mm,1019_stomatal_conductance_5DAD,mean_SE,no,no,Table,,Table S2 and S5 in tpw017supp_Table_S1S2S3S5 (word file),,
1019,Viger,1019_Viger_stomatal_conductance_15DAD,G_match_E_DataShown,continuous,FALSE,Tracheophyta,Populus,nigra,6,6,stomatal_conductance_15DAD,umol per sq m per sec,JUVENILE,categorical,well watered vs drought,water availability,NA,Average annual precipitation,mm,1019_stomatal_conductance_15DAD,mean_SE,no,no,Table,,Table S2 and S5 in tpw017supp_Table_S1S2S3S5 (word file),,
1019,Viger,1019_Viger_delta_13C,G_match_E_DataShown,continuous,TRUE,Tracheophyta,Populus,nigra,6,6,delta_13C,per mil,JUVENILE,categorical,well watered vs drought,water availability,NA,Average annual precipitation,mm,1019_delta_13C,mean_SE,no,no,Table,,Table S2 and S5 in tpw017supp_Table_S1S2S3S5 (word file),,
1056,Mathiasen,1056_Mathiasen_initial_height,G_match_E_DataShown,continuous,FALSE,Tracheophyta,Nothofagus ,pumilio,2,2,initial_height,cm,JUVENILE,continuous,high vs low elevation,elevation,m,elevation,m,1056_initial_height,mean_SE,no,no,Table,2,Table S2 in studyID_1056_442_2016_3568_MOESM1_ESM (word file) and Fig 2 extracted with graphbrabber into studyID_1056_graphgrabber_SE_extraction,1056_doy = day of year,
1056,Mathiasen,1056_Mathiasen_total_height,G_match_E_DataShown,continuous,FALSE,Tracheophyta,Nothofagus ,pumilio,2,2,total_height,cm,JUVENILE,continuous,high vs low elevation,elevation,m,elevation,m,1056_total_height,mean_SE,no,no,Table,2,Table S2 in studyID_1056_442_2016_3568_MOESM1_ESM (word file) and Fig 2 extracted with graphbrabber into studyID_1056_graphgrabber_SE_extraction,"1056_means were extracted from supplemental tables, but SE were extracted from the corresponding figures in the main text. N was found in the text.",
1056,Mathiasen,1056_Mathiasen_basal_diameter,G_match_E_DataShown,continuous,FALSE,Tracheophyta,Nothofagus ,pumilio,2,2,basal_diameter,mm,JUVENILE,continuous,high vs low elevation,elevation,m,elevation,m,1056_basal_diameter,mean_SE,no,no,Table,2,Table S2 in studyID_1056_442_2016_3568_MOESM1_ESM (word file) and Fig 2 extracted with graphbrabber into studyID_1056_graphgrabber_SE_extraction,,
1056,Mathiasen,1056_Mathiasen_branches,G_match_E_DataShown,continuous,FALSE,Tracheophyta,Nothofagus ,pumilio,2,2,branches,count,JUVENILE,continuous,high vs low elevation,elevation,m,elevation,m,1056_branches,mean_SE,no,no,Table,2,Table S2 in studyID_1056_442_2016_3568_MOESM1_ESM (word file) and Fig 2 extracted with graphbrabber into studyID_1056_graphgrabber_SE_extraction,,
1056,Mathiasen,1056_Mathiasen_plant_shape,G_match_E_DataShown,continuous,FALSE,Tracheophyta,Nothofagus ,pumilio,2,2,plant_shape,per cm,JUVENILE,continuous,high vs low elevation,elevation,m,elevation,m,1056_plant_shape,mean_SE,no,no,Table,2,Table S2 in studyID_1056_442_2016_3568_MOESM1_ESM (word file) and Fig 2 extracted with graphbrabber into studyID_1056_graphgrabber_SE_extraction,,
1056,Mathiasen,1056_Mathiasen_leaves,G_match_E_DataShown,continuous,FALSE,Tracheophyta,Nothofagus ,pumilio,2,2,leaves,count,JUVENILE,continuous,high vs low elevation,elevation,m,elevation,m,1056_leaves,mean_SE,no,no,Table,2,Table S2 in studyID_1056_442_2016_3568_MOESM1_ESM (word file) and Fig 2 extracted with graphbrabber into studyID_1056_graphgrabber_SE_extraction,,
1056,Mathiasen,1056_Mathiasen_relative_growth_rate,G_match_E_DataShown,continuous,TRUE,Tracheophyta,Nothofagus ,pumilio,2,2,relative_growth_rate,relative,JUVENILE,continuous,high vs low elevation,elevation,m,elevation,m,1056_relative_growth_rate,mean_SE,no,no,Table,2,Table S2 in studyID_1056_442_2016_3568_MOESM1_ESM (word file) and Fig 2 extracted with graphbrabber into studyID_1056_graphgrabber_SE_extraction,,
1056,Mathiasen,1056_Mathiasen_partial_death,G_match_E_DataShown,continuous,TRUE,Tracheophyta,Nothofagus ,pumilio,2,2,partial_death,unitless,JUVENILE,continuous,high vs low elevation,elevation,m,elevation,m,1056_partial_death,mean_SE,no,no,Table,2,Table S2 in studyID_1056_442_2016_3568_MOESM1_ESM (word file) and Fig 2 extracted with graphbrabber into studyID_1056_graphgrabber_SE_extraction,,
1056,Mathiasen,1056_Mathiasen_plant_mortality,G_match_E_DataShown,continuous,FALSE,Tracheophyta,Nothofagus ,pumilio,2,2,plant_mortality,unitless,JUVENILE,continuous,high vs low elevation,elevation,m,elevation,m,1056_plant_mortality,mean_SE,no,no,Table,2,Table S2 in studyID_1056_442_2016_3568_MOESM1_ESM (word file) and Fig 2 extracted with graphbrabber into studyID_1056_graphgrabber_SE_extraction,,
1056,Mathiasen,1056_Mathiasen_total_leaf_area,G_match_E_DataShown,continuous,TRUE,Tracheophyta,Nothofagus ,pumilio,2,2,total_leaf_area,sq cm,JUVENILE,continuous,high vs low elevation,elevation,m,elevation,m,1056_total_leaf_area,mean_SE,no,no,Table,3,Table S4 in studyID_1056_442_2016_3568_MOESM1_ESM (word file) and Fig 3 extracted with graphbrabber into studyID_1056_graphgrabber_SE_extraction,,
1056,Mathiasen,1056_Mathiasen_leaf_perimeter,G_match_E_DataShown,continuous,TRUE,Tracheophyta,Nothofagus ,pumilio,2,2,leaf_perimeter,cm,JUVENILE,continuous,high vs low elevation,elevation,m,elevation,m,1056_leaf_perimeter,mean_SE,no,no,Table,3,Table S4 in studyID_1056_442_2016_3568_MOESM1_ESM (word file) and Fig 3 extracted with graphbrabber into studyID_1056_graphgrabber_SE_extraction,,
1056,Mathiasen,1056_Mathiasen_max_leaf_width,G_match_E_DataShown,continuous,TRUE,Tracheophyta,Nothofagus ,pumilio,2,2,max_leaf_width,cm,JUVENILE,continuous,high vs low elevation,elevation,m,elevation,m,1056_max_leaf_width,mean_SE,no,no,Table,3,Table S4 in studyID_1056_442_2016_3568_MOESM1_ESM (word file) and Fig 3 extracted with graphbrabber into studyID_1056_graphgrabber_SE_extraction,,
1056,Mathiasen,1056_Mathiasen_max_leaf_length,G_match_E_DataShown,continuous,TRUE,Tracheophyta,Nothofagus ,pumilio,2,2,max_leaf_length,cm,JUVENILE,continuous,high vs low elevation,elevation,m,elevation,m,1056_max_leaf_length,mean_SE,no,no,Table,3,Table S4 in studyID_1056_442_2016_3568_MOESM1_ESM (word file) and Fig 3 extracted with graphbrabber into studyID_1056_graphgrabber_SE_extraction,,
1056,Mathiasen,1056_Mathiasen_dry_mass,G_match_E_DataShown,continuous,TRUE,Tracheophyta,Nothofagus ,pumilio,2,2,dry_mass,g,JUVENILE,continuous,high vs low elevation,elevation,m,elevation,m,1056_dry_mass,mean_SE,no,no,Table,3,Table S4 in studyID_1056_442_2016_3568_MOESM1_ESM (word file) and Fig 3 extracted with graphbrabber into studyID_1056_graphgrabber_SE_extraction,,
1056,Mathiasen,1056_Mathiasen_specific_leaf_area,G_match_E_DataShown,continuous,FALSE,Tracheophyta,Nothofagus ,pumilio,2,2,specific_leaf_area,sq cm per g,JUVENILE,continuous,high vs low elevation,elevation,m,elevation,m,1056_specific_leaf_area,mean_SE,no,no,Table,3,Table S4 in studyID_1056_442_2016_3568_MOESM1_ESM (word file) and Fig 3 extracted with graphbrabber into studyID_1056_graphgrabber_SE_extraction,,
1056,Mathiasen,1056_Mathiasen_dissecation_index,G_match_E_DataShown,continuous,FALSE,Tracheophyta,Nothofagus ,pumilio,2,2,dissecation_index,unitless,JUVENILE,continuous,high vs low elevation,elevation,m,elevation,m,1056_dissecation_index,mean_SE,no,no,Table,3,Table S4 in studyID_1056_442_2016_3568_MOESM1_ESM (word file) and Fig 3 extracted with graphbrabber into studyID_1056_graphgrabber_SE_extraction,,
1056,Mathiasen,1056_Mathiasen_width_length_ratio,G_match_E_DataShown,continuous,FALSE,Tracheophyta,Nothofagus ,pumilio,2,2,width_length_ratio,unitless,JUVENILE,continuous,high vs low elevation,elevation,m,elevation,m,1056_width_length_ratio,mean_SE,no,no,Table,3,Table S4 in studyID_1056_442_2016_3568_MOESM1_ESM (word file) and Fig 3 extracted with graphbrabber into studyID_1056_graphgrabber_SE_extraction,,
1056,Mathiasen,1056_Mathiasen_shape_factor,G_match_E_DataShown,continuous,FALSE,Tracheophyta,Nothofagus ,pumilio,2,2,shape_factor,unitless,JUVENILE,continuous,high vs low elevation,elevation,m,elevation,m,1056_shape_factor,mean_SE,no,no,Table,3,Table S4 in studyID_1056_442_2016_3568_MOESM1_ESM (word file) and Fig 3 extracted with graphbrabber into studyID_1056_graphgrabber_SE_extraction,,
1056,Mathiasen,1056_Mathiasen_leaf_unfolding_date,G_match_E_DataShown,continuous,FALSE,Tracheophyta,Nothofagus ,pumilio,2,2,leaf_unfolding_date,doy,JUVENILE,continuous,high vs low elevation,elevation,m,elevation,m,1056_leaf_unfolding_date,mean_SE,no,no,Table,4,Table S5 in studyID_1056_442_2016_3568_MOESM1_ESM (word file) and Fig 4 extracted with graphbrabber into studyID_1056_graphgrabber_SE_extraction,,
1056,Mathiasen,1056_Mathiasen_leaf_expansion_date,G_match_E_DataShown,continuous,FALSE,Tracheophyta,Nothofagus ,pumilio,2,2,leaf_expansion_date,doy,JUVENILE,continuous,high vs low elevation,elevation,m,elevation,m,1056_leaf_expansion_date,mean_SE,no,no,Table,4,Table S5 in studyID_1056_442_2016_3568_MOESM1_ESM (word file) and Fig 4 extracted with graphbrabber into studyID_1056_graphgrabber_SE_extraction,,
1056,Mathiasen,1056_Mathiasen_phenology_extension,G_match_E_DataShown,continuous,FALSE,Tracheophyta,Nothofagus ,pumilio,2,2,phenology_extension,d,JUVENILE,continuous,high vs low elevation,elevation,m,elevation,m,1056_phenology_extension,mean_SE,no,no,Table,4,Table S5 in studyID_1056_442_2016_3568_MOESM1_ESM (word file) and Fig 4 extracted with graphbrabber into studyID_1056_graphgrabber_SE_extraction,,
1056,Mathiasen,1056_Mathiasen_phenological_development,G_match_E_DataShown,continuous,FALSE,Tracheophyta,Nothofagus ,pumilio,2,2,phenological_development,d,JUVENILE,continuous,high vs low elevation,elevation,m,elevation,m,1056_phenological_development,mean_SE,no,no,Table,4,Table S5 in studyID_1056_442_2016_3568_MOESM1_ESM (word file) and Fig 4 extracted with graphbrabber into studyID_1056_graphgrabber_SE_extraction,,
1273,Bansal,1273_Bansal_bud_damage,G_match_E_DataShown,continuous,NA,Tracheophyta,Pseudotsuga ,menziesii var menziesii,35,35,bud_damage,proportion,ADULT,continuous,temperature range,mean annual temperature,C,mean annual temperature,C,1273_bud_damage,raw data,no,yes,Figure,Fig 3 extracted with graphbrabber into studyID_1273_fig3 graphgrabber (excel file),,"1501_panels in figures 3 4 5 are not labelled a means top panel, b means center panel, c means bottom panel",
1273,Bansal,1273_Bansal_stem_damage,G_match_E_DataShown,continuous,NA,Tracheophyta,Pseudotsuga ,menziesii var menziesii,35,35,stem_damage,proportion,ADULT,continuous,temperature range,mean annual temperature,C,mean annual temperature,C,1273_stem_damage,raw data,no,yes,Figure,Fig 3 extracted with graphbrabber into studyID_1273_fig3 graphgrabber  (excel file),,1501_eggs were from hatcheries,
1501,Zhao,1501_Zhao_incubation_period,G_match_E_DataShown,continuous,NA,Chordata,Mauremys ,mutica,2,2,incubation_period,d,SEEDorEGG,continuous,temperature range,soil temperature,C,soil temperature,C,1501_incubation_period,mean_SE,no,yes,Figure,Fig 3a extracted with graphgrabber into studyID_1501 graphgrabber (excel file),,,
1501,Zhao,1501_Zhao_body_mass,G_match_E_DataShown,continuous,NA,Chordata,Mauremys ,mutica,2,2,body_mass,g,JUVENILE,continuous,temperature range,soil temperature,C,soil temperature,C,1501_body_mass,mean_SE,no,yes,Figure,Fig 4a extracted with graphgrabber into studyID_1501 graphgrabber (excel file),,,
1501,Zhao,1501_Zhao_carapace_length,G_match_E_DataShown,continuous,FALSE,Chordata,Mauremys ,mutica,2,2,carapace_length,mm,JUVENILE,continuous,temperature range,soil temperature,C,soil temperature,C,1501_carapace_length,mean_SE,no,yes,Figure,Fig 4b extracted with graphgrabber into studyID_1501 graphgrabber (excel file),,,
1501,Zhao,1501_Zhao_carapace_width,G_match_E_DataShown,continuous,FALSE,Chordata,Mauremys ,mutica,2,2,carapace_width,mm,JUVENILE,continuous,temperature range,soil temperature,C,soil temperature,C,1501_carapace_width,mean_SE,no,yes,Figure,Fig 4c extracted with graphgrabber into studyID_1501 graphgrabber (excel file),,,
1501,Zhao,1501_Zhao_righting_time,G_match_E_DataShown,continuous,NA,Chordata,Mauremys ,mutica,2,2,righting_time,s,JUVENILE,continuous,temperature range,soil temperature,C,soil temperature,C,1501_righting_time,mean_SE,no,yes,Figure,Fig 5b extracted with graphgrabber into studyID_1501 graphgrabber (excel file),,,
1538,Bruneaux,1538_Bruneaux_condition_factor,G_match_E_DataShown,continuous,FALSE,Chordata,Pungitius,pungitius,4,4,condition_factor,unitless,ADULT,continuous,temperature range,temperature,C,temperature,C,1538_condition_factor,raw data,no,no,Figure,Fig 3a extracted with graphgrabber into studyID_1538 Fig3 graphgrabber (excel file),,1538_panels in figures 3 and 5 are not labelled. A through C or D is top to bottom.,
1538,Bruneaux,1538_Bruneaux_hepatosomatic_index,G_match_E_DataShown,continuous,TRUE,Chordata,Pungitius,pungitius,4,4,hepatosomatic_index,unitless,ADULT,continuous,temperature range,temperature,C,temperature,C,1538_hepatosomatic_index,raw data,no,no,Figure,Fig 3b extracted with graphgrabber into studyID_1538 Fig3 graphgrabber (excel file),,,
1538,Bruneaux,1538_Bruneaux_female_gonadosomatic_index,G_match_E_DataShown,continuous,FALSE,Chordata,Pungitius,pungitius,4,4,female_gonadosomatic_index,unitless,ADULT,continuous,temperature range,temperature,C,temperature,C,1538_female_gonadosomatic_index,raw data,no,no,Figure,Fig 3c extracted with graphgrabber into studyID_1538 Fig3 graphgrabber (excel file),,,
1538,Bruneaux,1538_Bruneaux_hematocrit,G_match_E_DataShown,continuous,TRUE,Chordata,Pungitius,pungitius,4,4,hematocrit,unitless,ADULT,continuous,temperature range,temperature,C,temperature,C,1538_hematocrit,raw data,no,no,Figure,Fig 3d extracted with graphgrabber into studyID_1538 Fig3 graphgrabber (excel file),,,
1538,Bruneaux,1538_Bruneaux_standard_metabolic_rate,G_match_E_DataShown,continuous,FALSE,Chordata,Pungitius,pungitius,4,4,standard_metabolic_rate,micromol O2 per h,ADULT,continuous,temperature range,temperature,C,temperature,C,1538_standard_metabolic_rate,raw data,no,no,Figure,Fig 5a extracted with graphgrabber into studyID_1538_Fig5 graphgrabber (excel file),,,
1538,Bruneaux,1538_Bruneaux_maximum_metabolic_rate,G_match_E_DataShown,continuous,TRUE,Chordata,Pungitius,pungitius,4,4,maximum_metabolic_rate,micromol O2 per h,ADULT,continuous,temperature range,temperature,C,temperature,C,1538_maximum_metabolic_rate,raw data,no,no,Figure,Fig 5b extracted with graphgrabber into studyID_1538_Fig5 graphgrabber (excel file),,,
1538,Bruneaux,1538_Bruneaux_aerobic scope,G_match_E_DataShown,continuous,TRUE,Chordata,Pungitius,pungitius,4,4,aerobic scope,micromol O2 per h,ADULT,continuous,temperature range,temperature,C,temperature,C,1538_aerobic scope,raw data,no,no,Figure,Fig 5c extracted with graphgrabber into studyID_1538_Fig5 graphgrabber (excel file),,,
1637,Owings,1637_Owings_2011_Mean_immature_dev_time,G_match_E_DataShown,continuous,FALSE,Arthropoda,Cochliomyia ,macellaria,4,4,Mean_immature_dev_time,h,SEEDorEGG,continuous,mean temperature,temperature,C,min and max temp ranges,C,1637_Mean_immature_dev_time,mean_SE,no,no,Table,Table 3 in main text transcripted to studyID_1637_Table3 (excel file),,"1637_G3 only tested in 2011, so 2011 phenotypes were measured for 3 Genotypes and 2012 phenotypes were measured for 2 Genotypes",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,Owings,1637_Owings_2011_Mean_pupal_dev_time,G_match_E_DataShown,continuous,TRUE,Arthropoda,Cochliomyia ,macellaria,4,4,Mean_pupal_dev_time,h,JUVENILE,continuous,mean temperature,temperature,C,min and max temp ranges,C,1637_Mean_pupal_dev_time,mean_SE,no,no,Table,Table 3 in main text transcripted to studyID_1637_Table3 (excel file),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,Owings,1637_Owings_2011_Mean_pupal_mass,G_match_E_DataShown,continuous,TRUE,Arthropoda,Cochliomyia ,macellaria,4,4,Mean_pupal_mass,mg,ADULT,continuous,mean temperature,temperature,C,min and max temp ranges,C,1637_Mean_pupal_mass,mean_SE,no,no,Table,Table 3 in main text transcripted to studyID_1637_Table3 (excel file),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,Quiroga,1935_Quiroga_total_leaf_biomass,G_match_E_DataShown,continuous,FALSE,Tracheophyta,Trichloris ,crinita,2,2,total_leaf_biomass,g per plant,ADULT,categorical,well watered vs drought,water availability,NA,precipitation,mm per yr,1935_total_leaf_biomass,mean_SE,no,no,Figure,Fig 3a extracted with graphgrabber into studyID_1935_Fig3 (excel file),,,
1935,Quiroga,1935_Quiroga_green_leaf_biomass,G_match_E_DataShown,continuous,TRUE,Tracheophyta,Trichloris ,crinita,2,2,green_leaf_biomass,g per plant,ADULT,categorical,well watered vs drought,water availability,NA,precipitation,mm per yr,1935_green_leaf_biomass,mean_SE,no,no,Figure,Fig 3b extracted with graphgrabber into studyID_1935_Fig3 (excel file),,,
1935,Quiroga,1935_Quiroga_specific_leaf_area,G_match_E_DataShown,continuous,TRUE,Tracheophyta,Trichloris ,crinita,2,2,specific_leaf_area,sq cm per g,ADULT,categorical,well watered vs drought,water availability,NA,precipitation,mm per yr,1935_specific_leaf_area,mean_SE,no,no,Figure,Fig 3c extracted with graphgrabber into studyID_1935_Fig3 (excel file),,,
2098,Torres_Dowdall,2098_Torres_Dowdall_length_maturity,G_match_E_DataShown,categorical,NA,Chordata,Poecilia,reticulata,4,4,length_maturity,mm,ADULT,categorical,presence vs absence predator cue,predator cue,NA,source river and predation level,NA,2098_length_maturity,raw data,no,no,Table,,studyID_2098_Torres Dowdall et al. 11-0833 Standard Length data (excel file),,
2098,Torres_Dowdall,2098_Torres_Dowdall_fish_atsurface,G_match_E_DataShown,categorical,NA,Chordata,Poecilia,reticulata,4,4,fish_atsurface,proportion,ADULT,categorical,presence vs absence predator cue,predator cue,NA,source river and predation level,NA,2098_fish_atsurface,raw data,yes,no,Table,,studyID_2098_Torres Dowdall et al. 11-0833 Water colum data (excel file),,
1669,McLean,1669_McLean_delta_13C,G_match_E_DataShown,continuous,FALSE,Tracheophyta,Eucalyptus ,tricarpa,9,9,delta_13C,per mil,ADULT,continuous,low vs high precipitation,mean annual precipitation,mm,mean annual precipitation,mm,1669_delta_13C,mean_SE,no,no,Table,,"studyID_1669_Tricarpa provenance summary statistices (excel file, sent by author)",,
1669,McLean,1669_McLean_delta_18O,G_match_E_DataShown,continuous,NA,Tracheophyta,Eucalyptus ,tricarpa,9,9,delta_18O,per mil,ADULT,continuous,low vs high precipitation,mean annual precipitation,mm,mean annual precipitation,mm,1669_delta_18O,mean_SE,no,no,Table,,"studyID_1669_Tricarpa provenance summary statistices (excel file, sent by author)",,
1669,McLean,1669_McLean_density,G_match_E_DataShown,continuous,FALSE,Tracheophyta,Eucalyptus ,tricarpa,9,9,density,g per cubic cm,ADULT,continuous,low vs high precipitation,mean annual precipitation,mm,mean annual precipitation,mm,1669_density,mean_SE,no,no,Table,,"studyID_1669_Tricarpa provenance summary statistices (excel file, sent by author)",,
1669,McLean,1669_McLean_leaf_thickness,G_match_E_DataShown,continuous,TRUE,Tracheophyta,Eucalyptus ,tricarpa,9,9,leaf_thickness,mm,ADULT,continuous,low vs high precipitation,mean annual precipitation,mm,mean annual precipitation,mm,1669_leaf_thickness,mean_SE,no,no,Table,,"studyID_1669_Tricarpa provenance summary statistices (excel file, sent by author)",,
1669,McLean,1669_McLean_specific_leaf_area,G_match_E_DataShown,continuous,TRUE,Tracheophyta,Eucalyptus ,tricarpa,9,9,specific_leaf_area,sq cm per g,ADULT,continuous,low vs high precipitation,mean annual precipitation,mm,mean annual precipitation,mm,1669_specific_leaf_area,mean_SE,no,no,Table,,"studyID_1669_Tricarpa provenance summary statistices (excel file, sent by author)",,
1669,McLean,1669_McLean_leaf_size,G_match_E_DataShown,continuous,TRUE,Tracheophyta,Eucalyptus ,tricarpa,9,9,leaf_size,sq cm,ADULT,continuous,low vs high precipitation,mean annual precipitation,mm,mean annual precipitation,mm,1669_leaf_size,mean_SE,no,no,Table,,"studyID_1669_Tricarpa provenance summary statistices (excel file, sent by author)",,
1669,McLean,1669_McLean_nitrogen_content_mass,G_match_E_DataShown,continuous,FALSE,Tracheophyta,Eucalyptus ,tricarpa,9,9,nitrogen_content_mass,mg per g,ADULT,continuous,low vs high precipitation,mean annual precipitation,mm,mean annual precipitation,mm,1669_nitrogen_content_mass,mean_SE,no,no,Table,,"studyID_1669_Tricarpa provenance summary statistices (excel file, sent by author)",,
1669,McLean,1669_McLean_nitrogen_content_area,G_match_E_DataShown,continuous,FALSE,Tracheophyta,Eucalyptus ,tricarpa,9,9,nitrogen_content_area,mg per sq cm,ADULT,continuous,low vs high precipitation,mean annual precipitation,mm,mean annual precipitation,mm,1669_nitrogen_content_area,mean_SE,no,no,Table,,"studyID_1669_Tricarpa provenance summary statistices (excel file, sent by author)",,
1669,McLean,1669_McLean_number_stems,G_match_E_DataShown,continuous,FALSE,Tracheophyta,Eucalyptus ,tricarpa,9,9,number_stems,count,ADULT,continuous,low vs high precipitation,mean annual precipitation,mm,mean annual precipitation,mm,1669_number_stems,mean_SE,no,no,Table,,"studyID_1669_Tricarpa provenance summary statistices (excel file, sent by author)",,
1669,McLean,1669_McLean_stem_cross_sectional_area,G_match_E_DataShown,continuous,TRUE,Tracheophyta,Eucalyptus ,tricarpa,9,9,stem_cross_sectional_area,sq cm,ADULT,continuous,low vs high precipitation,mean annual precipitation,mm,mean annual precipitation,mm,1669_stem_cross_sectional_area,mean_SE,no,no,Table,,"studyID_1669_Tricarpa provenance summary statistices (excel file, sent by author)",,
1669,McLean,1669_McLean_tree_height,G_match_E_DataShown,continuous,TRUE,Tracheophyta,Eucalyptus ,tricarpa,9,9,tree_height,m,ADULT,continuous,low vs high precipitation,mean annual precipitation,mm,mean annual precipitation,mm,1669_tree_height,mean_SE,no,no,Table,,"studyID_1669_Tricarpa provenance summary statistices (excel file, sent by author)",,
2366,Rogell,2366_Rogell_larval_period_cold,G_match_E_DataShown,continuous,FALSE,Chordata,Bufo,viridis,4,4,larval_period_cold,d,LARVAL,continuous,salinity range,salinity,per mil,salinity,per mil,2366_larval_period_cold,mean_SE,no,no,Figure,Fig 2a extracted with graphgrabber into studyID_2366_Fig2 graphgrabber (excel file),,,
2366,Rogell,2366_Rogell_larval_period_warm,G_match_E_DataShown,continuous,FALSE,Chordata,Bufo,viridis,4,4,larval_period_warm,d,LARVAL,continuous,salinity range,salinity,per mil,salinity,per mil,2366_larval_period_warm,mean_SE,no,no,Figure,Fig 2a extracted with graphgrabber into studyID_2366_Fig2 graphgrabber (ecel file),,,
2366,Rogell,2366_Rogell_mass_cold,G_match_E_DataShown,continuous,TRUE,Chordata,Bufo,viridis,4,4,mass_cold,g,LARVAL,continuous,salinity range,salinity,per mil,salinity,per mil,2366_mass_cold,mean_SE,no,no,Figure,Fig 2b extracted with graphgrabber into studyID_2366_Fig2 graphgrabber (excel file),,,
2366,Rogell,2366_Rogell_mass_warm,G_match_E_DataShown,continuous,TRUE,Chordata,Bufo,viridis,4,4,mass_warm,g,LARVAL,continuous,salinity range,salinity,per mil,salinity,per mil,2366_mass_warm,mean_SE,no,no,Figure,Fig 2b extracted with graphgrabber into studyID_2366_Fig2 graphgrabber (excel file),,,
2366,Rogell,2366_Rogell_survival_cold,G_match_E_DataShown,continuous,NA,Chordata,Bufo,viridis,4,4,survival_cold,proportion,LARVAL,continuous,salinity range,salinity,per mil,salinity,per mil,2366_survival_cold,mean_SE,yes,no,Figure,Fig 3 extracted with graphgrabber into studyID2366_Fig3 graphgrabber (excel file),,,
2366,Rogell,2366_Rogell_survival_warm,G_match_E_DataShown,continuous,NA,Chordata,Bufo,viridis,4,4,survival_warm,proportion,LARVAL,continuous,salinity range,salinity,per mil,salinity,per mil,2366_survival_warm,mean_SE,yes,no,Figure,Fig 3 extracted with graphgrabber into studyID2366_Fig3 graphgrabber (excel file),,,
2741,Fangue,2741_Fangue_mean_preferred_temp,G_match_E_DataShown,categorical,NA,Chordata,Fundulus ,heteroclitus,2,2,mean_preferred_temp,C,ADULT,continuous,temperature range,temperature,C,temperature,NA,2741_mean_preferred_temp,mean_SE,no,yes,Figure,Fig 3 extracted with graphgrabber into studyID_2741_Fig3 graphgrabber (excel file),,"2741_No info on native environment was given in the study but populations are from locations that are far away enough to determine that one is cold (NH, USA) and one is warm (GA, USA), so I inferred Northern population = cold and Southern population = warm (approved by Molly)",
2741,Fangue,2741_Fangue_consistently_preferred_temp,G_match_E_DataShown,categorical,NA,Chordata,Fundulus ,heteroclitus,2,2,consistently_preferred_temp,C,ADULT,continuous,temperature range,temperature,C,temperature,NA,2741_consistently_preferred_temp,mean_SE,no,yes,Figure,Fig 3 extracted with graphgrabber into studyID_2741_Fig3 graphgrabber (excel file),,2745_Genotypes are 4 different species of Iris; I had to calculate growth based on rhizome weight,
2745,Dorman,2745_Dorman_growth_rhizome_weight,G_match_E_DataShown,categorical,FALSE,Tracheophyta,Iris,sp,4,4,growth_rhizome_weight,g,ADULT,categorical,soil type and watering level,soil type and watering level,mm for watering level,soil type and annual precipitation,mm for precipitation,2745_growth_rhizome_weight,raw data,no,no,Table,,studyID_2745_adaptation2009data (excel file),"2745_GxE sig is reported for species x soil x watering level, species x soil and species x water available but not reported here",
2745,Dorman,2745_Dorman_leaf_fans,G_match_E_DataShown,categorical,FALSE,Tracheophyta,Iris,sp,4,4,leaf_fans,count,ADULT,categorical,soil type and watering level,soil type and watering level,mm for watering level,soil type and annual precipitation,mm for precipitation,2745_leaf_fans,raw data,no,no,Table,,studyID_2745_adaptation2009data2 (excel file),,
2745,Dorman,2745_Dorman_leaf_width,G_match_E_DataShown,categorical,FALSE,Tracheophyta,Iris,sp,4,4,leaf_width,cm,ADULT,categorical,soil type and watering level,soil type and watering level,mm for watering level,soil type and annual precipitation,mm for precipitation,2745_leaf_width,raw data,no,no,Table,,studyID_2745_adaptation2009data2 (excel file),,
2745,Dorman,2745_Dorman_leaf_thickness,G_match_E_DataShown,categorical,FALSE,Tracheophyta,Iris,sp,4,4,leaf_thickness,cm,ADULT,categorical,soil type and watering level,soil type and watering level,mm for watering level,soil type and annual precipitation,mm for precipitation,2745_leaf_thickness,raw data,no,no,Table,,studyID_2745_adaptation2009data2 (excel file),,
